sample-id,treatment,crop,harvest,drought,planted,Sample_or_Control
RTSF_NTC_704,RTSF_negcontrol,NA,NA,NA,NA,Control Sample
RTSF_NTC_761,RTSF_negcontrol,NA,NA,NA,NA,Control Sample
DNA_91_neg,Control11,NA,NA,NA,NA,Control Sample
DNA_92_neg,Control12,NA,NA,NA,NA,Control Sample
DNA_103_neg,Control13,NA,NA,NA,NA,Control Sample
DNA_104_neg,Control14,NA,NA,NA,NA,Control Sample
DNA_120_neg,Control15,NA,NA,NA,NA,Control Sample
DNA_121_neg,Control16,NA,NA,NA,NA,Control Sample
DNA_132_neg,Control17,NA,NA,NA,NA,Control Sample
DNA_133_neg,Control18,NA,NA,NA,NA,Control Sample
DNA_144_neg,Control19,NA,NA,NA,NA,Control Sample
DNA_145_neg,Control20,NA,NA,NA,NA,Control Sample
DNA_161_neg,Control21,NA,NA,NA,NA,Control Sample
DNA_162_neg,Control22,NA,NA,NA,NA,Control Sample
RTSF_NTC_751,RTSF_negcontrol,NA,NA,NA,NA,Control Sample
RTSF_NTC_762,RTSF_negcontrol,NA,NA,NA,NA,Control Sample
DNA_178_neg,Control23,NA,NA,NA,NA,Control Sample
DNA_179_neg,Control24,NA,NA,NA,NA,Control Sample
DNA_195_neg,Control25,NA,NA,NA,NA,Control Sample
DNA_196_neg,Control26,NA,NA,NA,NA,Control Sample
DNA_207_neg,Control27,NA,NA,NA,NA,Control Sample
DNA_208_neg,Control28,NA,NA,NA,NA,Control Sample
DNA_224_neg,Control29,NA,NA,NA,NA,Control Sample
DNA_225_neg,Control30,NA,NA,NA,NA,Control Sample
DNA_241_neg,Control31,NA,NA,NA,NA,Control Sample
DNA_242_neg,Control32,NA,NA,NA,NA,Control Sample
RTSF_NTC_753,RTSF_negcontrol,NA,NA,NA,NA,Control Sample
RTSF_NTC_763,RTSF_negcontrol,NA,NA,NA,NA,Control Sample
DNA_253_neg,Control33,NA,NA,NA,NA,Control Sample
DNA_254_neg,Control34,NA,NA,NA,NA,Control Sample
redoDNAbox398_neg1,Control35,NA,NA,NA,NA,Control Sample
redoDNAbox398_neg2,Control36,NA,NA,NA,NA,Control Sample
redoDNAbox401_neg1,Control37,NA,NA,NA,NA,Control Sample
redoDNAbox401_neg2,Control38,NA,NA,NA,NA,Control Sample
redoDNAbox409_neg1,Control39,NA,NA,NA,NA,Control Sample
redoDNAbox414_neg1,Control40,NA,NA,NA,NA,Control Sample
redoDNAbox414_neg2,Control41,NA,NA,NA,NA,Control Sample
RTSF_NTC_755,RTSF_negcontrol,NA,NA,NA,NA,Control Sample
cDNA_11,Control42,NA,NA,NA,NA,Control Sample
cDNA_12,Control43,NA,NA,NA,NA,Control Sample
cDNA_23,Control44,NA,NA,NA,NA,Control Sample
cDNA_24,Control45,NA,NA,NA,NA,Control Sample
cDNA_dil1_24_neg1,Control46,NA,NA,NA,NA,Control Sample
cDNA_dil1_24_neg2,Control47,NA,NA,NA,NA,Control Sample
cDNA_1_12_neg1,Control48,NA,NA,NA,NA,Control Sample
cDNA_1_12_neg2,Control49,NA,NA,NA,NA,Control Sample
cDNA_13_24_neg1,Control50,NA,NA,NA,NA,Control Sample
cDNA_13_24_neg2,Control51,NA,NA,NA,NA,Control Sample
cDNA_25_90neg1,Control52,NA,NA,NA,NA,Control Sample
cDNA_25_90neg2,Control53,NA,NA,NA,NA,Control Sample
cDNA_93_142neg1,Control54,NA,NA,NA,NA,Control Sample
cDNA_93_142neg2,Control55,NA,NA,NA,NA,Control Sample
cDNA_147_206neg1,Control56,NA,NA,NA,NA,Control Sample
cDNA_147_206neg2,Control57,NA,NA,NA,NA,Control Sample
RTSF_NTC1,RTSFnegcon,NA,NA,NA,NA,Control Sample
RTSF_NTC_772,RTSFnegcon,NA,NA,NA,NA,Control Sample
RTSF_NTC_774,RTSFnegcon,NA,NA,NA,NA,Control Sample
cDNA_209_252neg1,Control58,NA,NA,NA,NA,Control Sample
cDNA_209_252neg2,Control59,NA,NA,NA,NA,Control Sample
cDNA_59_245redo_neg1,Control60,NA,NA,NA,NA,Control Sample
cDNA_59_245redo_neg2,Control61,NA,NA,NA,NA,Control Sample
cDNA_20_177redo_neg1,Control62,NA,NA,NA,NA,Control Sample
cDNA_20_177redo_neg2,Control63,NA,NA,NA,NA,Control Sample
cDNA_9_151redo_neg1,Control64,NA,NA,NA,NA,Control Sample
cDNA_9_151redo_neg2,Control65,NA,NA,NA,NA,Control Sample
RTSF_NTC,RTSFnegcon,NA,NA,NA,NA,Control Sample
RTSF_NTC_775,RTSFnegcon,NA,NA,NA,NA,Control Sample
RTSF_NTC_776,RTSFnegcon,NA,NA,NA,NA,Control Sample
