sample-id,treatment,crop,harvest,drought,planted
DNA_11,Control1,switchgrass,neg-control,neg-control,neg-control
DNA_12,Control2,switchgrass,neg-control,neg-control,neg-control
DNA_23-neg,Control3,switchgrass,neg-control,neg-control,neg-control
DNA_24-neg,Control4,switchgrass,neg-control,neg-control,neg-control
DNA_35-neg,Control5,switchgrass,neg-control,neg-control,neg-control
DNA_36-neg,Control6,switchgrass,neg-control,neg-control,neg-control
DNA_47-neg,Control7,switchgrass,neg-control,neg-control,neg-control
DNA_48-neg,Control8,switchgrass,neg-control,neg-control,neg-control
DNA_69-neg,Control9,switchgrass,neg-control,neg-control,neg-control
DNA_70-neg,Control10,switchgrass,neg-control,neg-control,neg-control
positivecontrol1-Shade,Shadeposcontrol1,switchgrass,pos-control,pos-control,pos-control
RTSF_NTC_704,RTSF_negcontrol,switchgrass,neg-control,neg-control,neg-control
RTSF_NTC_761,RTSF_negcontrol,switchgrass,neg-control,neg-control,neg-control
ZymoMockDNA_705,RTSF_poscontrol,switchgrass,pos-control,pos-control,pos-control
DNA_91-neg,Control11,switchgrass,neg-control,neg-control,neg-control
DNA_92-neg,Control12,switchgrass,neg-control,neg-control,neg-control
DNA_103-neg,Control13,switchgrass,neg-control,neg-control,neg-control
DNA_104-neg,Control14,switchgrass,neg-control,neg-control,neg-control
DNA_120-neg,Control15,switchgrass,neg-control,neg-control,neg-control
DNA_121-neg,Control16,switchgrass,neg-control,neg-control,neg-control
DNA_132-neg,Control17,bean,neg-control,neg-control,neg-control
DNA_133-neg,Control18,bean,neg-control,neg-control,neg-control
DNA_144-neg,Control19,bean,neg-control,neg-control,neg-control
DNA_145-neg,Control20,bean,neg-control,neg-control,neg-control
DNA_161-neg,Control21,bean,neg-control,neg-control,neg-control
DNA_162-neg,Control22,bean,neg-control,neg-control,neg-control
positivecontrol2-Shade,Shadeposcontrol2,bean,pos-control,pos-control,pos-control
RTSF_NTC_751,RTSF_negcontrol,bean,neg-control,neg-control,neg-control
RTSF_NTC_762,RTSF_negcontrol,bean,neg-control,neg-control,neg-control
ZymoMockDNA_752,RTSF_poscontrol,bean,pos-control,pos-control,pos-control
DNA_178-neg,Control23,bean,neg-control,neg-control,neg-control
DNA_179-neg,Control24,bean,neg-control,neg-control,neg-control
DNA_195-neg,Control25,bean,neg-control,neg-control,neg-control
DNA_196-neg,Control26,bean,neg-control,neg-control,neg-control
DNA_207-neg,Control27,bean,neg-control,neg-control,neg-control
DNA_208-neg,Control28,bean,neg-control,neg-control,neg-control
DNA_224-neg,Control29,bean,neg-control,neg-control,neg-control
DNA_225-neg,Control30,bean,neg-control,neg-control,neg-control
DNA_241-neg,Control31,bean,neg-control,neg-control,neg-control
DNA_242-neg,Control32,bean,neg-control,neg-control,neg-control
positivecontrol3-Shade,Shadeposcontrol3,bean,pos-control,pos-control,pos-control
RTSF_NTC_753,RTSF_negcontrol,bean,neg-control,neg-control,neg-control
RTSF_NTC_763,RTSF_negcontrol,bean,neg-control,neg-control,neg-control
ZymoMockDNA_754,RTSF_poscontrol,bean,pos-control,pos-control,pos-control
DNA_253-neg,Control33,bean,neg-control,neg-control,neg-control
DNA_254-neg,Control34,bean,neg-control,neg-control,neg-control
redoDNAbox398-neg1,Control35,bean,neg-control,neg-control,neg-control
redoDNAbox398-neg2,Control36,bean,neg-control,neg-control,neg-control
redoDNAbox401-neg1,Control37,bean,neg-control,neg-control,neg-control
redoDNAbox401-neg2,Control38,bean,neg-control,neg-control,neg-control
redoDNAbox409-neg1,Control39,bean,neg-control,neg-control,neg-control
redoDNAbox414-neg1,Control40,bean,neg-control,neg-control,neg-control
redoDNAbox414-neg2,Control41,bean,neg-control,neg-control,neg-control
positivecontrol4-Shade,Shadeposcontrol4,bean,pos-control,pos-control,pos-control
RTSF_NTC_755,RTSF_negcontrol,bean,neg-control,neg-control,neg-control
ZymoMockDNA_756,RTSF_poscontrol,bean,pos-control,pos-control,pos-control
