sample-id,treatment,crop,harvest,drought,planted
DNA_243,H5WW(P1),bean,harvest5,well-watered,planted
DNA_244,H5WW(P2),bean,harvest5,well-watered,planted
DNA_245,H5WW(P3),bean,harvest5,well-watered,planted
DNA_246,H5WW(P4),bean,harvest5,well-watered,planted
DNA_247,H5WW(P5),bean,harvest5,well-watered,planted
DNA_248,H5WW(U1),bean,harvest5,well-watered,unplanted
DNA_249,H5WW(U2),bean,harvest5,well-watered,unplanted
DNA_250,H5WW(U3),bean,harvest5,well-watered,unplanted
DNA_251,H5WW(U4),bean,harvest5,well-watered,unplanted
DNA_252,H5WW(U5),bean,harvest5,well-watered,unplanted
